ORF	YF_GENE	OF_GENE
YEL072W	RMD6	RMD6
YEL073C	YEL073C	YEL073C
YEL074W	YEL074W	YEL074W
YEL075C	YEL075C	YEL075C
YEL075W-A	YEL075W-A	YEL075W-A
YEL076C	YEL076C	YEL076C
YEL076C-A	YEL076C-A	YEL076C-A
YEL077C	YEL077C	YEL077C
YEL077W-A	NA	YEL077W-A
YER001W	MNN1	MNN1
YER002W	NOP16	NOP16
YER003C	PMI40	PMI40
YER004W	FMP52	FMP52
YER005W	YND1	YND1
YER006C-A	NA	YER006C-A
YER006W	NUG1	NUG1
YER007C-A	TMA20	TMA20
YER007W	PAC2	PAC2
YER008C	SEC3	SEC3
YER009W	NTF2	NTF2
YER010C	YER010C	YER010C
YER011W	TIR1	TIR1
YER012W	PRE1	PRE1
YER013W	PRP22	PRP22
YER014C-A	BUD25	BUD25
YER014W	HEM14	HEM14
YER015W	FAA2	FAA2
YER016W	BIM1	BIM1
YER017C	AFG3	AFG3
YER018C	SPC25	SPC25
YER019C-A	SBH2	SBH2
YER019W	ISC1	ISC1
YER020W	GPA2	GPA2
YER021W	RPN3	RPN3
YER022W	SRB4	SRB4
YER023C-A	NA	YER023C-A
YER023W	PRO3	PRO3
YER024W	YAT2	YAT2
YER025W	GCD11	GCD11
YER026C	CHO1	CHO1
YER027C	GAL83	GAL83
YER028C	MIG3	MIG3
YER029C	SMB1	SMB1
YER030W	CHZ1	CHZ1
YER031C	YPT31	YPT31
YER032W	FIR1	FIR1
YER033C	ZRG8	ZRG8
YER034W	YER034W	YER034W
YER035W	EDC2	EDC2
YER036C	ARB1	ARB1
YER037W	PHM8	PHM8
YER038C	KRE29	KRE29
YER038W-A	FMP49	FMP49
YER039C	HVG1	HVG1
YER039C-A	YER039C-A	YER039C-A
YER040W	GLN3	GLN3
YER041W	YEN1	YEN1
YER042W	MXR1	MXR1
YER043C	SAH1	SAH1
YER044C	ERG28	ERG28
YER044C-A	MEI4	MEI4
YER045C	ACA1	ACA1
YER046W	SPO73	SPO73
YER046W-A	NA	YER046W-A
YER047C	SAP1	SAP1
YER048C	CAJ1	CAJ1
YER048W-A	ISD11	ISD11
YER049W	TPA1	TPA1
YER050C	RSM18	RSM18
YER051W	JHD1	JHD1
YER052C	HOM3	HOM3
YER053C	PIC2	PIC2
YER053C-A	YER053C-A	YER053C-A
YER054C	GIP2	GIP2
YER055C	HIS1	HIS1
YER056C	FCY2	FCY2
YER056C-A	RPL34A	RPL34A
YER057C	HMF1	HMF1
YER058W	PET117	PET117
YER059W	PCL6	PCL6
YER060W	FCY21	FCY21
YER060W-A	FCY22	FCY22
YER061C	CEM1	CEM1
YER062C	GPP2	GPP2
YER063W	THO1	THO1
YER064C	VHR2	VHR2
YER065C	ICL1	ICL1
YER066C-A	YER066C-A	YER066C-A
YER066W	RRT13	RRT13
YER067C-A	NA	YER067C-A
YER067W	RGI1	RGI1
YER068C-A	NA	YER068C-A
YER068W	MOT2	MOT2
YER069W	ARG56	ARG5,6
YER070W	RNR1	RNR1
YER071C	TDA2	TDA2
YER072W	VTC1	VTC1
YER073W	ALD5	ALD5
YER074W	RPS24A	RPS24A
YER074W-A	YOS1	YOS1
YER075C	PTP3	PTP3
YER076C	YER076C	YER076C
YER076W-A	NA	YER076W-A
YER077C	MRX1	MRX1
YER078C	ICP55	ICP55
YER078W-A	YER078W-A	YER078W-A
YER079C-A	NA	YER079C-A
YER079W	YER079W	YER079W
YER080W	AIM9	AIM9
YER081W	SER3	SER3
YER082C	UTP7	UTP7
YER083C	GET2	GET2
YER084W	YER084W	YER084W
YER084W-A	NA	YER084W-A
YER085C	YER085C	YER085C
YER086W	ILV1	ILV1
YER087C-A	NA	YER087C-A
YER087C-B	SBH1	SBH1
YER087W	AIM10	AIM10
YER088C	DOT6	DOT6
YER088C-A	NA	YER088C-A
YER088W-B	NA	YER088W-B
YER089C	PTC2	PTC2
YER090C-A	NA	YER090C-A
YER090W	TRP2	TRP2
YER091C	MET6	MET6
YER091C-A	YER091C-A	YER091C-A
YER092W	IES5	IES5
YER093C	TSC11	TSC11
YER093C-A	AIM11	AIM11
YER094C	PUP3	PUP3
YER095W	RAD51	RAD51
YER096W	SHC1	SHC1
YER097W	YER097W	YER097W
YER098W	UBP9	UBP9
YER099C	PRS2	PRS2
YER100W	UBC6	UBC6
YER101C	AST2	AST2
YER102W	RPS8B	RPS8B
YER103W	SSA4	SSA4
YER104W	RTT105	RTT105
YER105C	NUP157	NUP157
YER106W	MAM1	MAM1
YER107C	GLE2	GLE2
YER107W-A	NA	YER107W-A
YER110C	KAP123	KAP123
YER111C	SWI4	SWI4
YER112W	LSM4	LSM4
YER113C	TMN3	TMN3
YER114C	BOI2	BOI2
YER115C	SPR6	SPR6
YER116C	SLX8	SLX8
YER117W	RPL23B	RPL23B
YER118C	SHO1	SHO1
YER119C	AVT6	AVT6
YER119C-A	YER119C-A	YER119C-A
YER120W	SCS2	SCS2
YER121W	YER121W	YER121W
YER122C	GLO3	GLO3
YER123W	YCK3	YCK3
YER124C	DSE1	DSE1
YER125W	RSP5	RSP5
YER126C	NSA2	NSA2
YER127W	LCP5	LCP5
YER128W	VFA1	VFA1
YER129W	SAK1	SAK1
YER130C	COM2	COM2
YER131W	RPS26B	RPS26B
YER132C	PMD1	PMD1
YER133W	GLC7	GLC7
YER133W-A	NA	YER133W-A
YER134C	YER134C	YER134C
YER135C	YER135C	YER135C
YER136W	GDI1	GDI1
YER137C	YER137C	YER137C
YER137W-A	NA	YER137W-A
YER138W-A	YER138W-A	YER138W-A
YER139C	RTR1	RTR1
YER140W	EMP65	EMP65
YER141W	COX15	COX15
YER142C	MAG1	MAG1
YER143W	DDI1	DDI1
YER144C	UBP5	UBP5
YER145C	FTR1	FTR1
YER145C-A	YER145C-A	YER145C-A
YER146W	LSM5	LSM5
YER147C	SCC4	SCC4
YER147C-A	NA	YER147C-A
YER148W	SPT15	SPT15
YER148W-A	NA	YER148W-A
YER149C	PEA2	PEA2
YER150W	SPI1	SPI1
YER151C	UBP3	UBP3
YER152C	YER152C	YER152C
YER152W-A	NA	YER152W-A
YER153C	PET122	PET122
YER154W	OXA1	OXA1
YER155C	BEM2	BEM2
YER156C	MYG1	YER156C
YER157W	COG3	COG3
YER158C	YER158C	YER158C
YER158W-A	NA	YER158W-A
YER159C	BUR6	BUR6
YER161C	SPT2	SPT2
YER162C	RAD4	RAD4
YER163C	GCG1	GCG1
YER164W	CHD1	CHD1
YER165C-A	NA	YER165C-A
YER165W	PAB1	PAB1
YER166W	DNF1	DNF1
YER167W	BCK2	BCK2
YER168C	CCA1	CCA1
YER169W	RPH1	RPH1
YER170W	ADK2	ADK2
YER171W	RAD3	RAD3
YER172C	BRR2	BRR2
YER172C-A	NA	YER172C-A
YER173W	RAD24	RAD24
YER174C	GRX4	GRX4
YER175C	TMT1	TMT1
YER175W-A	YER175W-A	YER175W-A
YER176W	ECM32	ECM32
YER177W	BMH1	BMH1
YER178W	PDA1	PDA1
YER179W	DMC1	DMC1
YER180C	ISC10	ISC10
YER180C-A	SLO1	SLO1
YER181C	YER181C	YER181C
YER182W	FMP10	FMP10
YER183C	FAU1	FAU1
YER184C	TOG1	TOG1
YER185W	PUG1	PUG1
YER186C	YER186C	YER186C
YER187W	YER187W	YER187W
YER188C-A	YER188C-A	YER188C-A
YER188W	YER188W	YER188W
YER189W	YER189W	YER189W
YER190C-A	NA	YER190C-A
YER190C-B	YER190C-B	YER190C-B
YER190W	YRF1-2	YRF1-2
YFL001W	DEG1	DEG1
YFL002C	SPB4	SPB4
YFL003C	MSH4	MSH4
YFL004W	VTC2	VTC2
YFL005W	SEC4	SEC4
YFL007W	BLM10	BLM10
YFL008W	SMC1	SMC1
YFL009W	CDC4	CDC4
YFL010C	WWM1	WWM1
YFL010W-A	AUA1	AUA1
YFL011W	HXT10	HXT10
YFL012W	YFL012W	YFL012W
YFL012W-A	YFL012W-A	YFL012W-A
YFL013C	IES1	IES1
YFL013W-A	NA	YFL013W-A
YFL014W	HSP12	HSP12
YFL015C	YFL015C	YFL015C
YFL015W-A	NA	YFL015W-A
YFL016C	MDJ1	MDJ1
YFL017C	GNA1	GNA1
YFL017W-A	SMX2	SMX2
YFL018C	LPD1	LPD1
YFL019C	YFL019C	YFL019C
YFL020C	PAU5	PAU5
YFL021C-A	NA	YFL021C-A
YFL021W	GAT1	GAT1
YFL022C	FRS2	FRS2
YFL023W	BUD27	BUD27
YFL024C	EPL1	EPL1
YFL025C	BST1	BST1
YFL026W	STE2	STE2
YFL027C	GYP8	GYP8
YFL028C	CAF16	CAF16
YFL029C	CAK1	CAK1
YFL030W	AGX1	AGX1
YFL031C-A	NA	YFL031C-A
YFL031W	HAC1	HAC1
YFL032W	YFL032W	YFL032W
YFL033C	RIM15	RIM15
YFL034C-A	RPL22B	RPL22B
YFL034C-B	MOB2	MOB2
YFL034W	MIL1	MIL1
YFL036W	RPO41	RPO41
YFL037W	TUB2	TUB2
YFL038C	YPT1	YPT1
YFL039C	ACT1	ACT1
YFL040W	YFL040W	YFL040W
YFL041W	FET5	FET5
YFL041W-A	YFL041W-A	YFL041W-A
YFL042C	LAM5	LAM5
YFL044C	OTU1	OTU1
YFL045C	SEC53	SEC53
YFL046W	FMP32	FMP32
YFL047W	RGD2	RGD2
YFL048C	EMP47	EMP47
YFL049W	SWP82	SWP82
YFL050C	ALR2	ALR2
YFL051C	YFL051C	YFL051C
YFL052W	ZNF1	ZNF1
YFL053W	DAK2	DAK2
YFL054C	AQY3	AQY3
YFL055W	AGP3	AGP3
YFL058W	THI5	THI5
YFL059W	SNZ3	SNZ3
YFL060C	SNO3	SNO3
YFL061W	DDI2	DDI2
YFL062W	COS4	COS4
YFL063W	YFL063W	YFL063W
YFL064C	YFL064C	YFL064C
YFL065C	YFL065C	YFL065C
YFL066C	YFL066C	YFL066C
YFL067W	YFL067W	YFL067W
YFL068W	YFL068W	YFL068W
YFR001W	LOC1	LOC1
YFR002W	NIC96	NIC96
YFR003C	YPI1	YPI1
YFR004W	RPN11	RPN11
YFR005C	SAD1	SAD1
YFR006W	YFR006W	YFR006W
YFR007W	YFH7	YFH7
YFR008W	FAR7	FAR7
YFR009W	GCN20	GCN20
YFR009W-A	NA	YFR009W-A
YFR010W	UBP6	UBP6
YFR010W-A	NA	YFR010W-A
YFR011C	MIC19	MIC19
YFR012W	DCV1	DCV1
YFR012W-A	YFR012W-A	YFR012W-A
YFR013W	IOC3	IOC3
YFR014C	CMK1	CMK1
YFR015C	GSY1	GSY1
YFR016C	AIP5	YFR016C
YFR017C	IGD1	IGD1
YFR018C	YFR018C	YFR018C
YFR019W	FAB1	FAB1
YFR020W	CSS2	CSS2
YFR021W	ATG18	ATG18
YFR022W	ROG3	ROG3
YFR023W	PES4	PES4
YFR024C-A	LSB3	LSB3
YFR025C	HIS2	HIS2
YFR026C	ULI1	ULI1
YFR027W	ECO1	ECO1
YFR028C	CDC14	CDC14
YFR029W	PTR3	PTR3
YFR030W	MET10	MET10
YFR031C	SMC2	SMC2
YFR031C-A	RPL2A	RPL2A
YFR032C	RRT5	RRT5
YFR032C-A	RPL29	RPL29
YFR032C-B	MIN10	YFR032C-B
YFR033C	QCR6	QCR6
YFR034C	PHO4	PHO4
YFR034W-A	NA	YFR034W-A
YFR035C	YFR035C	YFR035C
YFR036W	CDC26	CDC26
YFR036W-A	NA	YFR036W-A
YFR037C	RSC8	RSC8
YFR038W	IRC5	IRC5
YFR039C	OSW7	OSW7
YFR040W	SAP155	SAP155
YFR041C	ERJ5	ERJ5
YFR042W	KEG1	KEG1
YFR043C	IRC6	IRC6
YFR044C	DUG1	DUG1
YFR045W	MRX20	YFR045W
YFR046C	CNN1	CNN1
YFR047C	BNA6	BNA6
YFR048W	RMD8	RMD8
YFR049W	YMR31	YMR31
YFR050C	PRE4	PRE4
YFR051C	RET2	RET2
YFR052C-A	NA	YFR052C-A
YFR052W	RPN12	RPN12
YFR053C	HXK1	HXK1
YFR054C	YFR054C	YFR054C
YFR055W	IRC7	IRC7
YFR056C	YFR056C	YFR056C
YFR057W	YFR057W	YFR057W
YGL001C	ERG26	ERG26
YGL002W	ERP6	ERP6
YGL003C	CDH1	CDH1
YGL004C	RPN14	RPN14
YGL005C	COG7	COG7
YGL006W	PMC1	PMC1
YGL006W-A	YGL006W-A	YGL006W-A
YGL007C-A	YGL007C-A	YGL007C-A
YGL007W	BRP1	BRP1
YGL008C	PMA1	PMA1
YGL009C	LEU1	LEU1
YGL010W	MPO1	MPO1
YGL011C	SCL1	SCL1
YGL012W	ERG4	ERG4
YGL013C	PDR1	PDR1
YGL014C-A	NA	YGL014C-A
YGL014W	PUF4	PUF4
YGL015C	BIL2	YGL015C
YGL016W	KAP122	KAP122
YGL017W	ATE1	ATE1
YGL018C	JAC1	JAC1
YGL019W	CKB1	CKB1
YGL020C	GET1	GET1
YGL021W	ALK1	ALK1
YGL022W	STT3	STT3
YGL023C	PIB2	PIB2
YGL024W	YGL024W	YGL024W
YGL025C	PGD1	PGD1
YGL026C	TRP5	TRP5
YGL027C	CWH41	CWH41
YGL028C	SCW11	SCW11
YGL029W	CGR1	CGR1
YGL030W	RPL30	RPL30
YGL031C	RPL24A	RPL24A
YGL032C	AGA2	AGA2
YGL033W	HOP2	HOP2
YGL034C	YGL034C	YGL034C
YGL035C	MIG1	MIG1
YGL036W	YGL036W	YGL036W
YGL037C	PNC1	PNC1
YGL038C	OCH1	OCH1
YGL039W	YGL039W	YGL039W
YGL040C	HEM2	HEM2
YGL041C	YGL041C	YGL041C
YGL041C-B	YGL041C-B	YGL041C-B
YGL041W-A	DPC13	YGL041W-A
YGL042C	YGL042C	YGL042C
YGL043W	DST1	DST1
YGL044C	RNA15	RNA15
YGL045W	RIM8	RIM8
YGL047W	ALG13	ALG13
YGL048C	RPT6	RPT6
YGL049C	TIF4632	TIF4632
YGL050W	TYW3	TYW3
YGL051W	MST27	MST27
YGL052W	YGL052W	YGL052W
YGL053W	PRM8	PRM8
YGL054C	ERV14	ERV14
YGL055W	OLE1	OLE1
YGL056C	SDS23	SDS23
YGL057C	GEP7	GEP7
YGL058W	RAD6	RAD6
YGL059W	PKP2	PKP2
YGL060W	YBP2	YBP2
YGL061C	DUO1	DUO1
YGL062W	PYC1	PYC1
YGL063C-A	NA	YGL063C-A
YGL063W	PUS2	PUS2
YGL064C	MRH4	MRH4
YGL065C	ALG2	ALG2
YGL066W	SGF73	SGF73
YGL067W	NPY1	NPY1
YGL068W	MNP1	MNP1
YGL069C	YGL069C	YGL069C
YGL070C	RPB9	RPB9
YGL071W	AFT1	AFT1
YGL072C	YGL072C	YGL072C
YGL073W	HSF1	HSF1
YGL074C	YGL074C	YGL074C
YGL075C	MPS2	MPS2
YGL076C	RPL7A	RPL7A
YGL077C	HNM1	HNM1
YGL078C	DBP3	DBP3
YGL079W	KXD1	KXD1
YGL080W	MPC1	MPC1
YGL081W	YGL081W	YGL081W
YGL082W	YGL082W	YGL082W
YGL083W	SCY1	SCY1
YGL084C	GUP1	GUP1
YGL085W	LCL3	LCL3
YGL086W	MAD1	MAD1
YGL087C	MMS2	MMS2
YGL088W	YGL088W	YGL088W
YGL089C	MF(ALPHA)2	MF(ALPHA)2
YGL090W	LIF1	LIF1
YGL091C	NBP35	NBP35
YGL092W	NUP145	NUP145
YGL093W	SPC105	SPC105
YGL094C	PAN2	PAN2
YGL095C	VPS45	VPS45
YGL096W	TOS8	TOS8
YGL097W	SRM1	SRM1
YGL098W	USE1	USE1
YGL099W	LSG1	LSG1
YGL100W	SEH1	SEH1
YGL101W	YGK1	YGL101W
YGL102C	YGL102C	YGL102C
YGL103W	RPL28	RPL28
YGL104C	VPS73	VPS73
YGL105W	ARC1	ARC1
YGL106W	MLC1	MLC1
YGL107C	RMD9	RMD9
YGL108C	YGL108C	YGL108C
YGL109W	YGL109W	YGL109W
YGL110C	CUE3	CUE3
YGL111W	NSA1	NSA1
YGL112C	TAF6	TAF6
YGL113W	SLD3	SLD3
YGL114W	YGL114W	YGL114W
YGL115W	SNF4	SNF4
YGL116W	CDC20	CDC20
YGL117W	YGL117W	YGL117W
YGL118C	YGL118C	YGL118C
YGL119W	COQ8	COQ8
YGL120C	PRP43	PRP43
YGL121C	GPG1	GPG1
YGL122C	NAB2	NAB2
YGL123C-A	NA	YGL123C-A
YGL123W	RPS2	RPS2
YGL124C	MON1	MON1
YGL125W	MET13	MET13
YGL126W	SCS3	SCS3
YGL127C	SOH1	SOH1
YGL128C	CWC23	CWC23
YGL129C	RSM23	RSM23
YGL130W	CEG1	CEG1
YGL131C	SNT2	SNT2
YGL132W	YGL132W	YGL132W
YGL133W	ITC1	ITC1
YGL134W	PCL10	PCL10
YGL135W	RPL1B	RPL1B
YGL136C	MRM2	MRM2
YGL137W	SEC27	SEC27
YGL138C	YGL138C	YGL138C
YGL139W	FLC3	FLC3
YGL140C	YGL140C	YGL140C
YGL141W	HUL5	HUL5
YGL142C	GPI10	GPI10
YGL143C	MRF1	MRF1
YGL144C	ROG1	ROG1
YGL145W	TIP20	TIP20
YGL146C	RRT6	RRT6
YGL147C	RPL9A	RPL9A
YGL148W	ARO2	ARO2
YGL149W	YGL149W	YGL149W
YGL150C	INO80	INO80
YGL151W	NUT1	NUT1
YGL152C	YGL152C	YGL152C
YGL153W	PEX14	PEX14
YGL154C	LYS5	LYS5
YGL155W	CDC43	CDC43
YGL156W	AMS1	AMS1
YGL157W	ARI1	ARI1
YGL158W	RCK1	RCK1
YGL159W	YGL159W	YGL159W
YGL160W	AIM14	AIM14
YGL161C	YIP5	YIP5
YGL162W	SUT1	SUT1
YGL163C	RAD54	RAD54
YGL164C	YRB30	YRB30
YGL165C	YGL165C	YGL165C
YGL166W	CUP2	CUP2
YGL167C	PMR1	PMR1
YGL168W	HUR1	HUR1
YGL169W	SUA5	SUA5
YGL170C	SPO74	SPO74
YGL171W	ROK1	ROK1
YGL172W	NUP49	NUP49
YGL173C	XRN1	XRN1
YGL174W	BUD13	BUD13
YGL175C	SAE2	SAE2
YGL176C	YGL176C	YGL176C
YGL177W	YGL177W	YGL177W
YGL178W	MPT5	MPT5
YGL179C	TOS3	TOS3
YGL180W	ATG1	ATG1
YGL181W	GTS1	GTS1
YGL182C	YGL182C	YGL182C
YGL183C	MND1	MND1
YGL184C	STR3	STR3
YGL185C	YGL185C	YGL185C
YGL186C	TPN1	TPN1
YGL187C	COX4	COX4
YGL188C	YGL188C	YGL188C
YGL188C-A	YGL188C-A	YGL188C-A
YGL189C	RPS26A	RPS26A
YGL190C	CDC55	CDC55
YGL191W	COX13	COX13
YGL192W	IME4	IME4
YGL193C	YGL193C	YGL193C
YGL194C	HOS2	HOS2
YGL194C-A	YGL194C-A	YGL194C-A
YGL195W	GCN1	GCN1
YGL196W	DSD1	DSD1
YGL197W	MDS3	MDS3
YGL198W	YIP4	YIP4
YGL199C	YGL199C	YGL199C
YGL200C	EMP24	EMP24
YGL201C	MCM6	MCM6
YGL202W	ARO8	ARO8
YGL203C	KEX1	KEX1
YGL204C	YGL204C	YGL204C
YGL205W	POX1	POX1
YGL206C	CHC1	CHC1
YGL207W	SPT16	SPT16
YGL208W	SIP2	SIP2
YGL209W	MIG2	MIG2
YGL210W	YPT32	YPT32
YGL211W	NCS6	NCS6
YGL212W	VAM7	VAM7
YGL213C	SKI8	SKI8
YGL214W	YGL214W	YGL214W
YGL215W	CLG1	CLG1
YGL216W	KIP3	KIP3
YGL217C	YGL217C	YGL217C
YGL218W	YGL218W	YGL218W
YGL219C	MDM34	MDM34
YGL220W	BOL2	BOL2
YGL221C	NIF3	NIF3
YGL222C	EDC1	EDC1
YGL223C	COG1	COG1
YGL224C	SDT1	SDT1
YGL225W	VRG4	VRG4
YGL226C-A	OST5	OST5
YGL226W	MTC3	MTC3
YGL227W	VID30	VID30
YGL228W	SHE10	SHE10
YGL229C	SAP4	SAP4
YGL230C	YGL230C	YGL230C
YGL231C	EMC4	EMC4
YGL232W	TAN1	TAN1
YGL233W	SEC15	SEC15
YGL234W	ADE57	ADE5,7
YGL235W	YGL235W	YGL235W
YGL236C	MTO1	MTO1
YGL237C	HAP2	HAP2
YGL238W	CSE1	CSE1
YGL239C	YGL239C	YGL239C
YGL240W	DOC1	DOC1
YGL241W	KAP114	KAP114
YGL242C	YGL242C	YGL242C
YGL243W	TAD1	TAD1
YGL244W	RTF1	RTF1
YGL245W	GUS1	GUS1
YGL246C	RAI1	RAI1
YGL247W	BRR6	BRR6
YGL248W	PDE1	PDE1
YGL249W	ZIP2	ZIP2
YGL250W	RMR1	RMR1
YGL251C	HFM1	HFM1
YGL252C	RTG2	RTG2
YGL253W	HXK2	HXK2
YGL254W	FZF1	FZF1
YGL255W	ZRT1	ZRT1
YGL256W	ADH4	ADH4
YGL257C	MNT2	MNT2
YGL258W	VEL1	VEL1
YGL258W-A	YGL258W-A	YGL258W-A
YGL259W	YPS5	YPS5
YGL260W	YGL260W	YGL260W
YGL261C	PAU11	PAU11
YGL262W	YGL262W	YGL262W
YGL263W	COS12	COS12
YGR001C	EFM5	EFM5
YGR002C	SWC4	SWC4
YGR003W	CUL3	CUL3
YGR004W	PEX31	PEX31
YGR005C	TFG2	TFG2
YGR006W	PRP18	PRP18
YGR007W	ECT1	ECT1
YGR008C	STF2	STF2
YGR009C	SEC9	SEC9
YGR010W	NMA2	NMA2
YGR011W	YGR011W	YGR011W
YGR012W	MCY1	MCY1
YGR013W	SNU71	SNU71
YGR014W	MSB2	MSB2
YGR015C	EAT1	YGR015C
YGR016W	YGR016W	YGR016W
YGR017W	YGR017W	YGR017W
YGR018C	YGR018C	YGR018C
YGR019W	UGA1	UGA1
YGR020C	VMA7	VMA7
YGR021W	DPC29	YGR021W
YGR022C	YGR022C	YGR022C
YGR023W	MTL1	MTL1
YGR024C	THG1	THG1
YGR025W	YGR025W	YGR025W
YGR026W	YGR026W	YGR026W
YGR027C	RPS25A	RPS25A
YGR028W	MSP1	MSP1
YGR029W	ERV1	ERV1
YGR030C	POP6	POP6
YGR031C-A	NAG1	NAG1
YGR031W	IMO32	IMO32
YGR032W	GSC2	GSC2
YGR033C	TIM21	TIM21
YGR034W	RPL26B	RPL26B
YGR035C	YGR035C	YGR035C
YGR035W-A	YGR035W-A	YGR035W-A
YGR036C	CAX4	CAX4
YGR037C	ACB1	ACB1
YGR038W	ORM1	ORM1
YGR039W	YGR039W	YGR039W
YGR040W	KSS1	KSS1
YGR041W	BUD9	BUD9
YGR042W	MTE1	MTE1
YGR043C	NQM1	NQM1
YGR044C	RME1	RME1
YGR045C	YGR045C	YGR045C
YGR046W	TAM41	TAM41
YGR047C	TFC4	TFC4
YGR048W	UFD1	UFD1
YGR049W	SCM4	SCM4
YGR050C	YGR050C	YGR050C
YGR051C	YGR051C	YGR051C
YGR052W	FMP48	FMP48
YGR053C	MCO32	YGR053C
YGR054W	YGR054W	YGR054W
YGR055W	MUP1	MUP1
YGR056W	RSC1	RSC1
YGR057C	LST7	LST7
YGR058W	PEF1	PEF1
YGR059W	SPR3	SPR3
YGR060W	ERG25	ERG25
YGR061C	ADE6	ADE6
YGR062C	COX18	COX18
YGR063C	SPT4	SPT4
YGR064W	YGR064W	YGR064W
YGR065C	VHT1	VHT1
YGR066C	GID10	YGR066C
YGR067C	YGR067C	YGR067C
YGR068C	ART5	ART5
YGR068W-A	NA	YGR068W-A
YGR069W	YGR069W	YGR069W
YGR070W	ROM1	ROM1
YGR071C	ENV11	ENV11
YGR072W	UPF3	UPF3
YGR073C	YGR073C	YGR073C
YGR074W	SMD1	SMD1
YGR075C	PRP38	PRP38
YGR076C	MRPL25	MRPL25
YGR077C	PEX8	PEX8
YGR078C	PAC10	PAC10
YGR079W	YGR079W	YGR079W
YGR080W	TWF1	TWF1
YGR081C	SLX9	SLX9
YGR082W	TOM20	TOM20
YGR083C	GCD2	GCD2
YGR084C	MRP13	MRP13
YGR085C	RPL11B	RPL11B
YGR086C	PIL1	PIL1
YGR087C	PDC6	PDC6
YGR088W	CTT1	CTT1
YGR089W	NNF2	NNF2
YGR090W	UTP22	UTP22
YGR091W	PRP31	PRP31
YGR092W	DBF2	DBF2
YGR093W	DRN1	DRN1
YGR094W	VAS1	VAS1
YGR095C	RRP46	RRP46
YGR096W	TPC1	TPC1
YGR097W	ASK10	ASK10
YGR098C	ESP1	ESP1
YGR099W	TEL2	TEL2
YGR100W	MDR1	MDR1
YGR101W	PCP1	PCP1
YGR102C	GTF1	GTF1
YGR103W	NOP7	NOP7
YGR104C	SRB5	SRB5
YGR105W	VMA21	VMA21
YGR106C	VOA1	VOA1
YGR107W	YGR107W	YGR107W
YGR108W	CLB1	CLB1
YGR109C	CLB6	CLB6
YGR110W	CLD1	CLD1
YGR111W	YGR111W	YGR111W
YGR112W	SHY1	SHY1
YGR113W	DAM1	DAM1
YGR114C	YGR114C	YGR114C
YGR115C	YGR115C	YGR115C
YGR116W	SPT6	SPT6
YGR117C	YGR117C	YGR117C
YGR118W	RPS23A	RPS23A
YGR119C	NUP57	NUP57
YGR120C	COG2	COG2
YGR121C	MEP1	MEP1
YGR121W-A	YGR121W-A	YGR121W-A
YGR122C-A	YGR122C-A	YGR122C-A
YGR122W	YGR122W	YGR122W
YGR123C	PPT1	PPT1
YGR124W	ASN2	ASN2
YGR125W	VSB1	YGR125W
YGR126W	YGR126W	YGR126W
YGR127W	YGR127W	YGR127W
YGR128C	UTP8	UTP8
YGR129W	SYF2	SYF2
YGR130C	YGR130C	YGR130C
YGR131W	FHN1	FHN1
YGR132C	PHB1	PHB1
YGR133W	PEX4	PEX4
YGR134W	CAF130	CAF130
YGR135W	PRE9	PRE9
YGR136W	LSB1	LSB1
YGR137W	YGR137W	YGR137W
YGR138C	TPO2	TPO2
YGR139W	YGR139W	YGR139W
YGR140W	CBF2	CBF2
YGR141W	VPS62	VPS62
YGR142W	BTN2	BTN2
YGR143W	SKN1	SKN1
YGR144W	THI4	THI4
YGR145W	ENP2	ENP2
YGR146C	ECL1	ECL1
YGR146C-A	YGR146C-A	YGR146C-A
YGR147C	NAT2	NAT2
YGR148C	RPL24B	RPL24B
YGR149W	GPC1	GPC1
YGR150C	CCM1	CCM1
YGR151C	YGR151C	YGR151C
YGR152C	RSR1	RSR1
YGR153W	YGR153W	YGR153W
YGR154C	GTO1	GTO1
YGR155W	CYS4	CYS4
YGR156W	PTI1	PTI1
YGR157W	CHO2	CHO2
YGR158C	MTR3	MTR3
YGR159C	NSR1	NSR1
YGR160W	YGR160W	YGR160W
YGR161C	RTS3	RTS3
YGR161W-C	YGR161W-C	YGR161W-C
YGR162W	TIF4631	TIF4631
YGR163W	GTR2	GTR2
YGR164W	YGR164W	YGR164W
YGR165W	MRPS35	MRPS35
YGR166W	TRS65	TRS65
YGR167W	CLC1	CLC1
YGR168C	PEX35	YGR168C
YGR169C	PUS6	PUS6
YGR169C-A	LSO2	LSO2
YGR170W	PSD2	PSD2
YGR171C	MSM1	MSM1
YGR172C	YIP1	YIP1
YGR173W	RBG2	RBG2
YGR174C	CBP4	CBP4
YGR174W-A	YGR174W-A	YGR174W-A
YGR175C	ERG1	ERG1
YGR176W	YGR176W	YGR176W
YGR177C	ATF2	ATF2
YGR178C	PBP1	PBP1
YGR179C	OKP1	OKP1
YGR180C	RNR4	RNR4
YGR181W	TIM13	TIM13
YGR182C	YGR182C	YGR182C
YGR183C	QCR9	QCR9
YGR184C	UBR1	UBR1
YGR185C	TYS1	TYS1
YGR186W	TFG1	TFG1
YGR187C	HGH1	HGH1
YGR188C	BUB1	BUB1
YGR189C	CRH1	CRH1
YGR190C	YGR190C	YGR190C
YGR191W	HIP1	HIP1
YGR192C	TDH3	TDH3
YGR193C	PDX1	PDX1
