ID	yeasTSSdb (+/- 100bp)	>10% overlap with predicted UTRs (Nagalakshmi 2008)	chr	db	type	end5	end3	length	strand	gene_id_up	strand_up	up_gene_name	gene_id_down	strand_down	down_gene_name	baseMean_wt	log2FoldChange_wt	TPMs_wt	lfcSE_wt	pvalue_wt	padj_wt	baseMean_kar4	log2FoldChange_kar4	TPMs_kar4	lfcSE_kar4	pvalue_kar4	padj_kar4	Kar4 dependent_kar4	baseMean_ste12	log2FoldChange_ste12	TPMs_ste12	lfcSE_ste12	pvalue_ste12	padj_ste12	Ste12 dependent_ste12	Max(|Log2FC|)_ste12
MSTRG.105			IV	StringTie	transcript	550738	551834	1096	-	YDR046C	-	BAP3	YDR047W	+	HEM12	18.10	-0.54	224.72	0.35	1.67E-02	6.29E-02	16.13	-1.99	172.86	0.45	1.41E-07	1.22E-06		28.41	-0.21	239.00	0.20	8.86E-02	3.56E-01		1.987469526
MSTRG.239			VI	StringTie	transcript	2143	4980	2837	+	YFL066C	-	YFL066C	YFL063W	+	YFL063W	49.03	-0.40	228.29	0.21	1.71E-02	6.39E-02	29.93	-0.38	118.37	0.31	1.45E-01	2.68E-01		112.79	0.07	338.03	0.21	5.22E-01	7.98E-01		0.4004403
MSTRG.50	CP_supported		II	StringTie	transcript	804626	804880	254	-	YBR298C	-	MAL31	YBR298C-A	-	YBR298C-A	38.21	-0.43	2000.65	0.24	1.75E-02	6.49E-02	45.46	-0.43	2415.87	0.21	2.65E-02	7.15E-02		69.24	-0.28	2794.02	0.17	2.17E-02	1.59E-01		0.431762949
MSTRG.528			XIV	StringTie	transcript	6796	7021	225	+	YNL338W	+	YNL338W	YNL337W	+	YNL337W	14.17	-0.58	765.30	0.40	1.76E-02	6.49E-02	11.96	0.09	736.37	0.34	7.50E-01	8.38E-01		19.39	0.02	829.43	0.19	8.29E-01	9.71E-01		0.5807228
MSTRG.228	CP_supported		V	StringTie	transcript	483259	483864	605	+	YER155C	-	BEM2	YER157W	+	COG3	79.23	0.34	1777.09	0.17	1.89E-02	6.96E-02	104.81	1.48	2262.73	0.18	2.20E-18	5.55E-17		16.29	0.04	256.16	0.21	7.25E-01	9.02E-01		1.477648837
MSTRG.277	CP_supported		VII	StringTie	transcript	165144	166543	1399	-	YGL179C	-	TOS3	YGL178W	+	MPT5	70.39	0.35	747.08	0.18	2.02E-02	7.38E-02	74.72	0.80	733.98	0.18	2.82E-06	2.00E-05		111.23	0.32	769.57	0.15	6.88E-03	7.71E-02		0.795193037
MSTRG.249			VI	StringTie	transcript	55005	55332	327	.	YFL039C	-	ACT1	YFL038C	-	YPT1	622.10	-0.22	26746.14	0.10	2.05E-02	7.40E-02	630.60	-0.24	26963.80	0.10	1.33E-02	4.01E-02		976.13	-0.25	27780.48	0.10	7.36E-03	7.75E-02		0.245513554
MSTRG.664			XVI	StringTie	transcript	575533	576499	966	-	YPR008W	+	HAA1	YPR009W	+	SUT2	20.48	-0.52	243.28	0.35	2.05E-02	7.40E-02	16.66	-0.75	249.33	0.34	7.18E-03	2.40E-02		68.78	0.07	737.69	0.16	5.06E-01	7.89E-01		0.745123978
MSTRG.313			VII	StringTie	transcript	810584	811120	536	-	YGR161W-C	+	YGR161W-C	YGR161W-B	+	YGR161W-B	143.63	0.32	3488.62	0.16	2.22E-02	7.98E-02	340.38	1.62	7738.73	0.12	1.00E-44	7.29E-43		45.10	-0.74	745.14	0.36	2.84E-05	1.95E-03		1.615306344
MSTRG.489	CP_supported		XIII	StringTie	transcript	258683	259009	326	-	YML006C	-	GIS4	tS(AGA)M	-	tS(AGA)M	37.61	0.41	1398.70	0.24	2.31E-02	8.24E-02	33.28	0.29	1205.07	0.25	2.00E-01	3.40E-01		46.79	-0.10	1415.65	0.17	3.99E-01	7.05E-01		0.40580919
MSTRG.162			IX	StringTie	transcript	406598	410775	4177	+	YIR027C	-	DAL1	YIR029W	+	DAL2	147.01	0.28	469.35	0.14	2.40E-02	8.52E-02	184.00	1.42	566.95	0.14	1.86E-24	6.10E-23		293.76	0.39	623.02	0.12	2.04E-04	8.76E-03		1.419420354
MSTRG.534	CP_supported		XIV	StringTie	transcript	228952	229740	788	-	YNL223W	+	ATG4	snR19	-	snR19	16.33	-0.50	260.49	0.36	2.56E-02	9.04E-02	175.35	3.88	2889.76	0.20	2.60E-84	4.26E-82		18.01	0.02	220.16	0.20	8.21E-01	9.71E-01		3.882660133
MSTRG.199	CP_supported		V	StringTie	transcript	99685	100037	352	+	YEL028W	+	YEL028W	tM(CAU)E	+	tM(CAU)E	19.28	-0.48	789.88	0.33	2.66E-02	9.32E-02	15.01	-0.47	615.75	0.33	8.27E-02	1.78E-01		26.58	-0.28	705.84	0.23	2.45E-02	1.68E-01		0.4760776
MSTRG.524	CP_supported		XIII	StringTie	transcript	861190	861724	534	-	YMR296C	-	LCB1	YMR297W	+	PRC1	11.96	-0.54	283.06	0.42	2.68E-02	9.35E-02	10.85	-0.39	284.88	0.37	1.74E-01	3.06E-01		24.98	-0.05	393.49	0.19	6.36E-01	8.64E-01		0.5447115
MSTRG.93	CP_supported		IV	StringTie	transcript	312804	314046	1242	+	YDL080C	-	THI3	YDL078C	-	MDH3	65.50	-0.34	755.81	0.19	2.71E-02	9.37E-02	72.47	-0.85	730.64	0.19	1.52E-06	1.15E-05		108.14	-0.17	792.73	0.15	1.15E-01	4.12E-01		0.845144059
MSTRG.80			IV	StringTie	transcript	26115	26365	250	+	YDL240W	+	LRG1	YDL239C	-	ADY3	10.56	0.58	616.10	0.46	2.71E-02	9.37E-02	13.12	0.22	740.24	0.33	4.27E-01	5.83E-01		13.04	0.08	546.96	0.21	4.42E-01	7.38E-01		0.5755389
MSTRG.628	CP_supported		XV	StringTie	transcript	980883	981456	573	-	tP(UGG)O3	+	tP(UGG)O3	YOR345C	-	YOR345C	17.23	0.48	373.94	0.34	2.83E-02	9.73E-02	12.92	-0.10	308.88	0.33	7.18E-01	8.14E-01		14.74	-0.05	256.31	0.21	6.61E-01	8.74E-01		0.48006669
MSTRG.508	CP_supported		XIII	StringTie	transcript	610368	611015	647	+	YMR174C	-	PAI3	YMR175W	+	SIP18	42.40	0.38	981.93	0.23	2.86E-02	9.77E-02	42.47	0.35	868.44	0.22	7.79E-02	1.72E-01		47.96	0.12	712.67	0.17	3.11E-01	6.25E-01		0.37786736
MSTRG.225	CP_supported	YER129W_5UTR	V	StringTie	transcript	416773	417182	409	+	YER128W	+	VFA1	YER129W	+	SAK1	146.22	-0.26	4834.57	0.13	2.91E-02	9.89E-02	168.03	-0.37	5694.30	0.15	7.66E-03	2.55E-02		264.27	-0.19	6199.01	0.12	5.76E-02	2.96E-01		0.372538797
MSTRG.165	CP_supported		IX	StringTie	transcript	432569	433471	902	+	YIR039C	-	YPS6	YIR041W	+	PAU15	5.93	0.67	63.68	0.62	2.97E-02	1.00E-01	5.15	0.78	81.27	0.58	3.07E-02	8.00E-02		20.84	0.28	218.89	0.23	2.54E-02	1.70E-01		0.783287616
MSTRG.616			XV	StringTie	transcript	701008	702561	1553	-	YOR192C	-	THI72	YOR192C-C	-	YOR192C-C	67.46	-0.33	592.82	0.18	3.02E-02	1.01E-01	80.76	-0.10	735.51	0.17	5.44E-01	6.83E-01		112.18	-0.04	733.27	0.14	7.24E-01	9.02E-01		0.3308837
MSTRG.276	CP_supported		VII	StringTie	transcript	159106	159677	571	-	YGL181W	+	GTS1	YGL180W	+	ATG1	14.72	0.50	389.19	0.39	3.11E-02	1.04E-01	17.92	0.51	475.01	0.31	5.36E-02	1.29E-01		19.11	-0.01	343.51	0.20	9.11E-01	9.84E-01		0.507304769
MSTRG.231			V	StringTie	transcript	500615	501515	900	+	YER161C	-	SPT2	NA	NA	NA	21.20	0.44	313.20	0.31	3.14E-02	1.04E-01	18.47	0.25	277.50	0.29	3.19E-01	4.75E-01		36.42	0.06	439.63	0.18	6.09E-01	8.46E-01		0.44054163
MSTRG.274			VII	StringTie	transcript	154201	154402	201	+	YGL185C	-	YGL185C	YGL184C	-	STR3	13.38	0.51	850.43	0.40	3.31E-02	1.09E-01	10.29	0.16	675.14	0.36	5.84E-01	7.16E-01		14.99	-0.01	700.47	0.21	9.28E-01	9.91E-01		0.50822137
MSTRG.423	CP_supported		XI	StringTie	transcript	462970	463384	414	-	YKR011C	-	YKR011C	YKR012C	-	YKR012C	3.89	0.72	129.45	0.75	3.35E-02	1.10E-01	8.11	1.07	178.29	0.55	3.94E-03	1.43E-02		1.67	0.00	24.13	0.25	9.56E-01	1.00E+00		1.071982817
MSTRG.668	CP_supported		XVI	StringTie	transcript	619598	619972	374	-	YPR026W	+	ATH1	YPR027C	-	YPR027C	9.76	0.54	351.16	0.46	3.37E-02	1.10E-01	10.10	0.24	367.92	0.37	4.09E-01	5.65E-01		11.73	-0.04	292.70	0.22	7.14E-01	9.02E-01		0.54157658
MSTRG.590	CP_supported		XV	StringTie	transcript	167525	168419	894	-	YOL083C-A	-	YOL083C-A	YOL082W	+	ATG19	8.99	0.57	129.69	0.51	3.51E-02	1.14E-01	13.25	0.26	224.36	0.33	3.40E-01	4.99E-01		11.17	0.04	116.37	0.21	7.17E-01	9.02E-01		0.57159235
MSTRG.40			II	StringTie	transcript	466052	466334	282	-	YBR113W	+	YBR113W	YBR114W	+	RAD16	3.03	0.75	124.74	0.86	3.56E-02	1.15E-01	2.18	0.33	92.20	0.60	3.15E-01	4.71E-01		3.86	0.02	129.88	0.24	8.37E-01	1.00E+00		0.74764217
MSTRG.592	CP_supported		XV	StringTie	transcript	241574	242685	1111	+	YOL048C	-	RRT8	YOL046C	-	YOL046C	31.09	-0.38	384.94	0.25	3.72E-02	1.20E-01	36.47	-1.09	450.70	0.26	2.10E-06	1.56E-05	Y	114.28	-0.45	887.45	0.17	4.52E-04	1.13E-02		1.090072958
MSTRG.317			VII	StringTie	transcript	894219	894501	282	-	YGR197C	-	SNG1	YGR198W	+	YPP1	14.57	0.47	680.92	0.37	3.79E-02	1.22E-01	13.90	0.16	722.60	0.33	5.57E-01	6.94E-01		25.29	-0.02	854.98	0.19	8.74E-01	9.81E-01		0.47015857
MSTRG.185			Mito	StringTie	transcript	71084	71388	304	+	tY(GUA)Q	+	tY(GUA)Q	tN(GUU)Q	+	tN(GUU)Q	28.82	-0.39	1345.52	0.27	3.83E-02	1.22E-01	25.75	-0.70	1104.97	0.29	4.67E-03	1.68E-02		82.12	0.30	2738.49	0.19	1.63E-02	1.31E-01		0.704393059
MSTRG.61	CP_supported		III	StringTie	transcript	125318	126002	684	+	NA	NA	NA	YCR007C	-	YCR007C	46.43	0.35	1003.07	0.21	3.88E-02	1.23E-01	46.72	0.33	996.68	0.21	9.15E-02	1.93E-01		53.30	0.01	753.41	0.16	9.04E-01	9.83E-01		0.34652109
MSTRG.663	CP_supported		XVI	StringTie	transcript	567220	569122	1902	+	YPR005C	-	HAL1	YPR007C	-	REC8	83.80	0.30	670.91	0.17	3.92E-02	1.24E-01	96.54	1.08	701.51	0.17	3.31E-11	4.52E-10	Y	87.84	0.06	489.02	0.15	5.48E-01	8.04E-01		1.082536767
MSTRG.319	CP_supported		VII	StringTie	transcript	958553	959534	981	-	YGR233C	-	PHO81	YGR234W	+	YHB1	52.65	-0.33	721.92	0.20	4.00E-02	1.26E-01	59.63	0.24	823.65	0.20	1.95E-01	3.34E-01		98.60	0.00	1072.64	0.13	9.79E-01	1.00E+00		0.3284007
MSTRG.268	CP_supported		VII	StringTie	transcript	27896	30173	2277	+	YGL252C	-	RTG2	NA	NA	NA	63.23	0.32	367.77	0.19	4.05E-02	1.27E-01	64.55	0.50	334.81	0.19	5.99E-03	2.08E-02		94.78	0.02	391.83	0.13	8.12E-01	9.69E-01		0.497217972
MSTRG.496	CP_supported		XIII	StringTie	transcript	336885	337518	633	-	YMR032W	+	HOF1	YMR033W	+	ARP9	24.35	-0.40	463.68	0.28	4.16E-02	1.29E-01	23.95	-0.39	470.39	0.28	1.15E-01	2.29E-01		37.08	0.07	599.94	0.18	5.47E-01	8.04E-01		0.3984781
MSTRG.128	CP_supported		IV	StringTie	transcript	1162432	1162937	505	+	YDR344C	-	YDR344C	YDR345C	-	HXT3	44.37	0.34	1141.34	0.22	4.31E-02	1.33E-01	46.04	0.85	1253.07	0.22	3.01E-05	1.86E-04	Y	57.45	0.05	1156.91	0.16	6.82E-01	8.82E-01		0.847625633
MSTRG.41	CP_supported		II	StringTie	transcript	474327	477343	3016	+	YBR116C	-	YBR116C	YBR118W	+	TEF1	110.71	-0.27	487.28	0.15	4.52E-02	1.39E-01	120.51	-0.05	573.64	0.15	7.10E-01	8.12E-01		254.30	0.20	774.34	0.13	5.21E-02	2.78E-01		0.2661259
MSTRG.141	CP_supported		IV	StringTie	transcript	1507754	1509793	2039	-	YDR535C	-	YDR535C	YDR537C	-	YDR537C	170.82	-0.24	1193.79	0.13	4.57E-02	1.40E-01	174.02	-0.27	1159.09	0.14	4.03E-02	1.02E-01		409.44	0.04	1731.16	0.11	6.17E-01	8.54E-01		0.270692442
MSTRG.615			XV	StringTie	transcript	690032	692308	2276	-	YOR189W	+	IES4	YOR191W	+	ULS1	170.27	-0.23	1017.98	0.13	4.61E-02	1.41E-01	143.03	-0.17	892.42	0.14	2.08E-01	3.52E-01		215.13	0.06	953.48	0.12	5.08E-01	7.89E-01		0.2336849
MSTRG.547			XIV	StringTie	transcript	525141	525828	687	+	YNL054W-B	+	YNL054W-B	YNL054W	+	VAC7	21.00	-0.39	398.99	0.29	4.78E-02	1.45E-01	14.70	-1.29	244.56	0.43	1.06E-04	5.76E-04	Y	26.58	-0.23	348.59	0.22	6.08E-02	3.04E-01		1.292070014
MSTRG.397	CP_supported		X	StringTie	transcript	716244	717580	1336	-	YJR151C	-	DAN4	YJR151W-A	+	YJR151W-A	98.43	-0.27	1051.44	0.16	4.82E-02	1.46E-01	107.25	-0.04	1085.57	0.15	7.75E-01	8.58E-01		164.65	0.01	1210.72	0.13	8.96E-01	9.83E-01		0.2746006
MSTRG.634	CP_supported		XV	StringTie	transcript	1070250	1070916	666	-	YOR387C	-	YOR387C	YOR388C	-	FDH1	6.19	-0.55	119.51	0.57	4.96E-02	1.48E-01	6.71	-1.25	108.76	0.65	2.68E-03	1.01E-02		19.23	-0.55	253.70	0.34	3.55E-04	9.74E-03	Y	1.247365163
MSTRG.272			VII	StringTie	transcript	94470	95684	1214	-	YGL210W	+	YPT32	YGL209W	+	MIG2	37.18	0.34	397.40	0.23	4.97E-02	1.48E-01	45.28	0.92	465.00	0.24	1.42E-05	9.38E-05	Y	60.80	0.11	471.46	0.16	3.29E-01	6.33E-01		0.921155224
MSTRG.540			XIV	StringTie	transcript	334967	336396	1429	-	YNL161W	+	CBK1	YNL160W	+	YGP1	124.87	-0.25	1229.12	0.14	4.96E-02	1.48E-01	130.37	-0.15	1191.68	0.15	3.17E-01	4.74E-01		186.60	-0.01	1296.15	0.11	9.45E-01	9.92E-01		0.2491849
MSTRG.341			VIII	StringTie	transcript	121816	122468	652	+	YHR007C	-	ERG11	YHR007C-A	-	YHR007C-A	15.00	0.42	365.65	0.35	5.23E-02	1.55E-01	9.50	0.35	189.99	0.39	2.44E-01	3.97E-01		16.65	0.13	231.00	0.22	2.33E-01	5.65E-01		0.42296713
MSTRG.291			VII	StringTie	transcript	523007	523573	566	-	YGR016W	+	YGR016W	YGR017W	+	YGR017W	23.01	-0.37	562.11	0.28	5.31E-02	1.56E-01	24.38	-1.58	588.74	0.37	2.88E-07	2.38E-06	Y	44.30	-0.12	742.33	0.17	2.85E-01	6.00E-01		1.575720899
MSTRG.103	CP_supported		IV	StringTie	transcript	538977	539602	625	-	YDR040C	-	ENA1	YDR041W	+	RSM10	16.14	0.41	398.97	0.33	5.50E-02	1.61E-01	17.35	0.75	397.59	0.34	6.79E-03	2.29E-02		35.13	0.35	493.98	0.21	8.52E-03	8.06E-02		0.748386107
MSTRG.85	CP_supported		IV	StringTie	transcript	115791	116063	272	-	YDL193W	+	NUS1	YDL192W	+	ARF1	6.65	-0.51	267.38	0.52	5.62E-02	1.64E-01	7.17	0.17	388.41	0.41	5.67E-01	7.03E-01		6.41	0.07	268.62	0.24	3.96E-01	1.00E+00		0.5070981
MSTRG.21	CP_supported		II	StringTie	transcript	46721	47303	582	+	YBL091C-A	-	SCS22	YBL091C	-	MAP2	37.17	-0.34	646.87	0.24	5.79E-02	1.68E-01	31.68	-1.05	758.82	0.29	2.25E-05	1.42E-04	Y	65.15	-0.03	1082.84	0.15	7.58E-01	9.27E-01		1.051262825
MSTRG.452			XII	StringTie	transcript	323199	323524	325	-	YLR091W	+	GEP5	YLR092W	+	SUL2	15.03	-0.41	605.80	0.35	5.79E-02	1.68E-01	13.38	-0.06	560.22	0.33	8.34E-01	9.00E-01		22.64	0.02	674.84	0.19	8.53E-01	9.75E-01		0.4125005
MSTRG.521	CP_supported		XIII	StringTie	transcript	831555	831997	442	-	YMR280C	-	CAT8	YMR281W	+	GPI12	4.07	0.57	149.86	0.67	5.88E-02	1.69E-01	10.05	1.97	225.22	0.62	2.01E-05	1.28E-04	Y	7.04	0.15	133.78	0.25	1.09E-01	1.00E+00		1.969840421
MSTRG.114	CP_supported		IV	StringTie	transcript	835837	836072	235	+	YDR186C	-	SND1	YDR187C	-	YDR187C	8.56	0.46	440.52	0.45	6.00E-02	1.71E-01	8.24	0.67	533.77	0.45	3.91E-02	9.95E-02		13.96	0.17	484.88	0.23	1.29E-01	4.41E-01		0.667517386
MSTRG.164			IX	StringTie	transcript	426980	429577	2597	-	NA	NA	NA	YIR039C	-	YPS6	51.12	0.30	268.96	0.20	6.00E-02	1.71E-01	97.90	1.00	427.61	0.19	1.61E-08	1.58E-07	Y	76.62	-0.14	284.25	0.16	2.04E-01	5.48E-01		1.003494328
MSTRG.535	CP_supported		XIV	StringTie	transcript	250417	251773	1356	-	YNL211C	-	MRX7	YNL209W	+	SSB2	45.94	0.31	477.61	0.21	6.15E-02	1.75E-01	48.33	0.23	521.49	0.20	2.24E-01	3.71E-01		66.11	-0.03	442.22	0.15	7.78E-01	9.45E-01		0.30703869
MSTRG.666			XVI	StringTie	transcript	586348	589880	3532	+	YPR013C	-	CMR3	YPR015C	-	YPR015C	104.90	0.26	411.62	0.16	6.22E-02	1.76E-01	111.41	0.04	418.25	0.15	7.64E-01	8.49E-01		159.32	0.17	436.23	0.13	9.81E-02	3.85E-01		0.25676204
MSTRG.200		YEL024W_3UTR	V	StringTie	transcript	108058	108472	414	+	YEL024W	+	RIP1	YEL023C	-	YEL023C	636.85	0.21	22845.31	0.12	6.40E-02	1.79E-01	552.12	0.19	18684.80	0.12	1.12E-01	2.24E-01		946.17	0.36	23767.46	0.12	5.32E-04	1.27E-02		0.364356042
MSTRG.241			VI	StringTie	transcript	16062	16274	212	-	YFL056C	-	YFL056C	YFL055W	+	AGP3	35.20	-0.32	2206.98	0.22	6.38E-02	1.79E-01	39.78	-0.33	2335.63	0.23	1.11E-01	2.23E-01		68.04	-0.05	3094.87	0.15	6.35E-01	8.64E-01		0.330203333
MSTRG.115	CP_supported		IV	StringTie	transcript	892129	892438	309	-	YDR213W	+	UPC2	YDR214W	+	AHA1	39.13	-0.31	1823.60	0.22	6.50E-02	1.82E-01	34.24	-0.83	1259.13	0.26	2.76E-04	1.40E-03	Y	57.75	-0.34	1778.54	0.18	8.03E-03	7.93E-02		0.831182595
MSTRG.69			III	StringTie	transcript	290803	291238	435	+	YCR095W-A	+	YCR095W-A	NA	NA	NA	33.90	-0.32	1065.99	0.23	6.60E-02	1.83E-01	38.66	-0.39	1213.49	0.23	6.10E-02	1.43E-01		53.10	0.05	1117.82	0.16	6.64E-01	8.74E-01		0.386790294
MSTRG.520			XIII	StringTie	transcript	826477	826711	234	+	YMR279C	-	YMR279C	YMR280C	-	CAT8	131.45	-0.25	7733.13	0.15	6.65E-02	1.84E-01	103.74	-0.29	6048.43	0.16	5.09E-02	1.25E-01		278.62	0.10	11268.31	0.12	2.75E-01	5.99E-01		0.290808592
MSTRG.345	CP_supported		VIII	StringTie	transcript	238234	238828	594	-	tF(GAA)H1	-	tF(GAA)H1	YHR071C-A	-	YHR071C-A	16.72	0.37	388.96	0.31	6.71E-02	1.85E-01	15.50	0.43	395.68	0.33	1.06E-01	2.16E-01		25.07	0.22	369.82	0.21	7.24E-02	3.24E-01		0.43385345
MSTRG.337			VIII	StringTie	transcript	16429	17273	844	+	YHL042W	+	YHL042W	YHL041W	+	YHL041W	65.20	-0.27	1002.73	0.18	6.90E-02	1.89E-01	72.72	-0.33	1193.74	0.18	4.88E-02	1.21E-01		120.48	0.00	1426.90	0.13	9.88E-01	1.00E+00		0.33166835
MSTRG.120	CP_supported		IV	StringTie	transcript	979560	980168	608	+	YDR261C	-	EXG2	tS(AGA)D2	-	tS(AGA)D2	20.00	0.37	496.21	0.31	6.94E-02	1.89E-01	29.07	0.99	607.57	0.29	7.17E-05	4.15E-04	Y	13.13	-0.05	177.84	0.21	6.29E-01	8.64E-01		0.992195037
MSTRG.386			X	StringTie	transcript	376189	376651	462	-	YJL038C	-	LOH1	YJL037W	+	IRC18	5.02	0.50	143.45	0.57	6.98E-02	1.90E-01	5.61	-0.20	182.00	0.44	5.04E-01	6.56E-01		6.02	0.02	123.62	0.23	8.33E-01	1.00E+00		0.49636428
MSTRG.455	CP_supported		XII	StringTie	transcript	449746	451207	1461	+	tQ(UUG)L	-	tQ(UUG)L	ETS2-1	-	ETS2-1	41.51	0.31	393.59	0.22	7.14E-02	1.93E-01	38.65	0.55	391.11	0.23	8.15E-03	2.65E-02		69.66	0.04	450.68	0.15	6.98E-01	8.93E-01		0.548156181
MSTRG.178			Mito	StringTie	transcript	45414	45880	466	+	NA	NA	NA	Q0130	+	OLI1	18.32	-0.36	578.82	0.30	7.25E-02	1.95E-01	17.49	-0.24	508.95	0.31	3.44E-01	5.05E-01		48.01	-0.01	952.99	0.17	9.41E-01	9.92E-01		0.3588023
MSTRG.362	CP_supported		VIII	StringTie	transcript	522187	522552	365	+	YHR210C	-	YHR210C	NA	NA	NA	6.50	0.46	236.45	0.50	7.30E-02	1.96E-01	7.57	0.52	271.78	0.44	9.93E-02	2.05E-01		6.96	0.09	177.94	0.24	3.03E-01	1.00E+00		0.517997735
MSTRG.34	CP_supported		II	StringTie	transcript	371321	371867	546	+	YBR066C	-	NRG2	YBR067C	-	TIP1	10.10	0.41	257.52	0.40	7.33E-02	1.96E-01	15.21	1.05	279.39	0.41	8.03E-04	3.55E-03	Y	22.17	0.03	418.39	0.20	7.72E-01	9.39E-01		1.050983274
MSTRG.647			XVI	StringTie	transcript	214041	215917	1876	+	YPL177C	-	CUP9	YPL176C	-	TRE1	29.45	-0.32	207.18	0.25	7.40E-02	1.96E-01	29.81	-0.82	223.91	0.28	7.25E-04	3.28E-03	Y	64.75	-0.28	318.73	0.18	2.25E-02	1.63E-01		0.817278749
MSTRG.133			IV	StringTie	transcript	1302311	1302612	301	+	YDR418W	+	RPL12B	YDR419W	+	RAD30	7.78	-0.45	407.55	0.48	7.39E-02	1.96E-01	6.44	-1.39	242.76	0.71	1.63E-03	6.63E-03	Y	21.17	-0.11	655.12	0.21	3.28E-01	6.33E-01		1.392214647
MSTRG.515	CP_supported		XIII	StringTie	transcript	769284	770496	1212	-	YMR247W-A	+	YMR247W-A	YMR250W	+	GAD1	63.21	-0.27	721.94	0.18	7.74E-02	2.04E-01	155.14	1.20	1734.96	0.16	1.31E-15	2.87E-14	Y	107.47	-0.16	852.97	0.15	1.34E-01	4.54E-01		1.198360672
MSTRG.635			XV	StringTie	transcript	1073266	1073834	568	+	YOR388C	-	FDH1	YOR389W	+	YOR389W	8.30	0.41	192.52	0.43	8.02E-02	2.11E-01	8.51	1.49	189.58	0.61	3.61E-04	1.79E-03	Y	21.29	0.12	324.34	0.21	2.72E-01	5.99E-01		1.48781302
MSTRG.10			I	StringTie	transcript	69700	71345	1645	-	YAL039C	-	CYC3	YAL038W	+	CDC19	24.33	-0.32	239.12	0.26	8.20E-02	2.15E-01	25.77	-0.41	204.23	0.27	8.02E-02	1.75E-01		58.42	0.33	357.26	0.18	8.92E-03	8.30E-02		0.412434762
MSTRG.494	CP_supported		XIII	StringTie	transcript	309013	310070	1057	+	YMR017W	+	SPO20	YMR018W	+	PEX9	17.76	-0.34	229.50	0.30	8.39E-02	2.18E-01	17.00	-1.03	208.30	0.37	5.53E-04	2.55E-03	Y	41.91	0.10	364.88	0.18	3.78E-01	6.76E-01		1.02747462
MSTRG.117	CP_supported		IV	StringTie	transcript	916062	916298	236	-	YDR225W	+	HTA1	YDR226W	+	ADK1	4.51	-0.46	226.68	0.57	8.40E-02	2.18E-01	5.54	0.30	396.85	0.46	3.34E-01	4.93E-01		6.10	-0.07	232.51	0.24	4.13E-01	1.00E+00		0.4643893
MSTRG.379	CP_supported		X	StringTie	transcript	220086	220664	578	-	YJL107C	-	YJL107C	YJL106W	+	IME2	10.98	-0.38	244.84	0.38	8.49E-02	2.19E-01	11.26	-0.46	241.92	0.39	1.23E-01	2.40E-01		35.73	0.18	606.91	0.19	1.31E-01	4.46E-01		0.456620472
MSTRG.411			XI	StringTie	transcript	143046	144061	1015	+	YKL164C	-	PIR1	YKL163W	+	PIR3	70.21	0.25	965.03	0.18	8.73E-02	2.25E-01	71.65	-0.07	972.68	0.18	6.83E-01	7.95E-01		117.70	0.26	1104.07	0.16	2.39E-02	1.66E-01		0.26465171
MSTRG.26	CP_supported	YBR008C_5UTR	II	StringTie	transcript	254272	254978	706	-	YBR008C	-	FLR1	YBR009C	-	HHF2	21.66	-0.32	394.38	0.27	8.76E-02	2.25E-01	25.13	-0.61	412.99	0.30	1.58E-02	4.69E-02		40.39	-0.16	559.19	0.18	1.86E-01	5.32E-01		0.608530841
MSTRG.166	CP_supported		IX	StringTie	transcript	436386	438175	1789	-	YIR042C	-	YIR042C	NA	NA	NA	52.56	-0.26	405.90	0.19	9.07E-02	2.31E-01	70.44	0.09	562.14	0.18	6.16E-01	7.43E-01		81.53	-0.08	438.07	0.14	4.28E-01	7.32E-01		0.2629725
MSTRG.558			XIV	StringTie	transcript	629062	629605	543	+	YNL001W	+	DOM34	YNR001C	-	CIT1	15.38	-0.34	389.21	0.31	9.04E-02	2.31E-01	16.41	-0.68	413.81	0.35	1.66E-02	4.87E-02		22.39	-0.05	379.38	0.20	6.52E-01	8.74E-01		0.677591109
MSTRG.60	CP_supported		III	StringTie	transcript	114690	117168	2478	+	YCL001W-B	+	YCL001W-B	YCR002C	-	CDC10	35.82	0.29	182.24	0.22	9.12E-02	2.31E-01	35.88	0.37	209.32	0.23	7.92E-02	1.74E-01		37.10	0.01	144.05	0.17	9.49E-01	9.92E-01		0.370407771
MSTRG.586			XV	StringTie	transcript	81539	82850	1311	.	YOL127W	+	RPL25	YOL125W	+	TRM13	892.69	-0.18	9887.19	0.11	9.50E-02	2.37E-01	786.82	-0.39	7853.89	0.12	5.00E-04	2.36E-03	Y	1274.04	-0.39	9299.31	0.09	5.13E-06	4.03E-04	Y	0.390906482
MSTRG.446			XII	StringTie	transcript	223376	223673	297	-	YLR037C	-	PAU23	YLR038C	-	COX12	12.04	0.36	552.99	0.35	9.39E-02	2.37E-01	16.67	0.43	739.62	0.33	1.12E-01	2.24E-01		22.33	0.18	767.72	0.21	1.23E-01	4.29E-01		0.430260279
MSTRG.326			VII	StringTie	transcript	999515	1000471	956	-	YGR253C	-	PUP2	YGR254W	+	ENO1	15.64	-0.34	207.99	0.32	9.45E-02	2.37E-01	11.88	-0.61	147.33	0.39	4.23E-02	1.06E-01		22.96	-0.12	216.31	0.20	2.81E-01	6.00E-01		0.606858004
